<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.23	04:25:00	1.25000	1.25008	1.24967	1.24967	67	0	9
2023.11.23	04:30:00	1.24967	1.25001	1.24964	1.24990	92	0	12
2023.11.23	04:35:00	1.24990	1.24998	1.24979	1.24979	55	0	10
2023.11.23	04:40:00	1.24978	1.24999	1.24976	1.24999	56	0	12
2023.11.23	04:45:00	1.24999	1.25010	1.24997	1.25010	67	0	12
2023.11.23	04:50:00	1.25011	1.25031	1.24998	1.25027	92	0	12
2023.11.23	04:55:00	1.25027	1.25032	1.25018	1.25029	94	0	9
2023.11.23	05:00:00	1.25029	1.25037	1.25015	1.25018	127	0	12
2023.11.23	05:05:00	1.25018	1.25018	1.24988	1.24989	70	0	12
2023.11.23	05:10:00	1.24990	1.25025	1.24990	1.25016	69	0	0
2023.11.23	05:15:00	1.25015	1.25030	1.25012	1.25029	49	0	12
2023.11.23	05:20:00	1.25028	1.25029	1.25007	1.25012	46	0	10
2023.11.23	05:25:00	1.25011	1.25018	1.25003	1.25003	51	0	5
2023.11.23	05:30:00	1.25003	1.25010	1.24997	1.25010	33	0	9
2023.11.23	05:35:00	1.25010	1.25017	1.24999	1.25016	62	0	9
2023.11.23	05:40:00	1.25016	1.25028	1.25012	1.25018	40	0	0
2023.11.23	05:45:00	1.25019	1.25051	1.25019	1.25050	65	0	9
2023.11.23	05:50:00	1.25050	1.25059	1.25046	1.25056	74	0	12
2023.11.23	05:55:00	1.25056	1.25058	1.25045	1.25051	46	0	12
2023.11.23	06:00:00	1.25053	1.25056	1.25040	1.25049	62	0	10
2023.11.23	06:05:00	1.25050	1.25051	1.25038	1.25050	38	0	10
2023.11.23	06:10:00	1.25050	1.25050	1.25032	1.25032	31	0	10
2023.11.23	06:15:00	1.25033	1.25036	1.25021	1.25021	33	0	9
2023.11.23	06:20:00	1.25021	1.25030	1.25021	1.25030	25	0	9
2023.11.23	06:25:00	1.25030	1.25050	1.25028	1.25041	51	0	9
2023.11.23	06:30:00	1.25041	1.25060	1.25040	1.25050	44	0	12
2023.11.23	06:35:00	1.25050	1.25050	1.25040	1.25040	39	0	9
2023.11.23	06:40:00	1.25039	1.25041	1.25031	1.25039	54	0	9
2023.11.23	06:45:00	1.25038	1.25041	1.25013	1.25016	52	0	8
2023.11.23	06:50:00	1.25017	1.25021	1.25015	1.25016	34	0	8
2023.11.23	06:55:00	1.25016	1.25020	1.25012	1.25019	34	0	6
2023.11.23	07:00:00	1.25019	1.25027	1.25003	1.25008	57	0	1
2023.11.23	07:05:00	1.25006	1.25023	1.25002	1.25023	40	0	1
2023.11.23	07:10:00	1.25023	1.25035	1.25021	1.25032	50	0	1
2023.11.23	07:15:00	1.25025	1.25046	1.25024	1.25036	54	0	1
2023.11.23	07:20:00	1.25037	1.25044	1.25034	1.25034	66	0	1
2023.11.23	07:25:00	1.25036	1.25044	1.25029	1.25034	66	0	1
2023.11.23	07:30:00	1.25035	1.25046	1.25034	1.25039	49	0	1
2023.11.23	07:35:00	1.25040	1.25065	1.25040	1.25062	76	0	1
2023.11.23	07:40:00	1.25063	1.25087	1.25062	1.25086	56	0	1
2023.11.23	07:45:00	1.25085	1.25113	1.25081	1.25105	89	0	1
2023.11.23	07:50:00	1.25106	1.25108	1.25075	1.25093	92	0	1
2023.11.23	07:55:00	1.25092	1.25126	1.25089	1.25114	115	0	1
2023.11.23	08:00:00	1.25115	1.25152	1.25113	1.25151	131	0	1
2023.11.23	08:05:00	1.25151	1.25164	1.25143	1.25153	115	0	1
2023.11.23	08:10:00	1.25154	1.25167	1.25142	1.25142	110	0	1
2023.11.23	08:15:00	1.25144	1.25150	1.25131	1.25141	121	0	1
2023.11.23	08:20:00	1.25140	1.25156	1.25125	1.25145	114	0	1
2023.11.23	08:25:00	1.25144	1.25144	1.25126	1.25134	123	0	1
2023.11.23	08:30:00	1.25133	1.25141	1.25104	1.25107	91	0	1
2023.11.23	08:35:00	1.25104	1.25120	1.25100	1.25115	88	0	1
2023.11.23	08:40:00	1.25114	1.25145	1.25112	1.25124	116	0	1
2023.11.23	08:45:00	1.25127	1.25130	1.25090	1.25100	119	0	1
2023.11.23	08:50:00	1.25097	1.25114	1.25089	1.25108	113	0	1
2023.11.23	08:55:00	1.25108	1.25115	1.25093	1.25100	106	0	1
2023.11.23	09:00:00	1.25101	1.25114	1.25058	1.25058	200	0	1
2023.11.23	09:05:00	1.25056	1.25068	1.25013	1.25050	176	0	1
2023.11.23	09:10:00	1.25051	1.25106	1.25051	1.25056	142	0	1
2023.11.23	09:15:00	1.25059	1.25095	1.25053	1.25093	111	0	1
2023.11.23	09:20:00	1.25093	1.25125	1.25076	1.25110	161	0	1
2023.11.23	09:25:00	1.25111	1.25166	1.25109	1.25157	236	0	1
2023.11.23	09:30:00	1.25156	1.25162	1.25128	1.25155	211	0	1
2023.11.23	09:35:00	1.25155	1.25173	1.25125	1.25133	200	0	1
2023.11.23	09:40:00	1.25131	1.25137	1.25095	1.25135	146	0	1
2023.11.23	09:45:00	1.25133	1.25186	1.25117	1.25175	158	0	1
2023.11.23	09:50:00	1.25175	1.25178	1.25132	1.25146	150	0	1
2023.11.23	09:55:00	1.25145	1.25186	1.25128	1.25174	133	0	1
2023.11.23	10:00:00	1.25177	1.25204	1.25152	1.25161	268	0	1
2023.11.23	10:05:00	1.25160	1.25203	1.25146	1.25174	209	0	1
2023.11.23	10:10:00	1.25175	1.25187	1.25139	1.25169	238	0	1
2023.11.23	10:15:00	1.25165	1.25207	1.25103	1.25185	372	0	1
2023.11.23	10:20:00	1.25185	1.25244	1.25180	1.25231	257	0	1
2023.11.23	10:25:00	1.25231	1.25252	1.25194	1.25235	205	0	1
2023.11.23	10:30:00	1.25238	1.25369	1.25238	1.25355	391	0	1
2023.11.23	10:35:00	1.25357	1.25377	1.25263	1.25276	263	0	1
2023.11.23	10:40:00	1.25275	1.25294	1.25233	1.25262	201	0	1
2023.11.23	10:45:00	1.25257	1.25257	1.25197	1.25214	184	0	1
2023.11.23	10:50:00	1.25215	1.25231	1.25173	1.25203	189	0	1
2023.11.23	10:55:00	1.25203	1.25213	1.25157	1.25175	196	0	1
2023.11.23	11:00:00	1.25180	1.25226	1.25122	1.25122	241	0	1
2023.11.23	11:05:00	1.25125	1.25134	1.25060	1.25065	252	0	1
2023.11.23	11:10:00	1.25063	1.25091	1.25035	1.25091	226	0	1
2023.11.23	11:15:00	1.25093	1.25130	1.25061	1.25114	275	0	1
2023.11.23	11:20:00	1.25115	1.25138	1.25082	1.25124	211	0	1
2023.11.23	11:25:00	1.25125	1.25147	1.25085	1.25102	237	0	1
2023.11.23	11:30:00	1.25245	1.25743	1.25222	1.25425	513	0	1
2023.11.23	11:35:00	1.25426	1.25534	1.25413	1.25469	286	0	1
2023.11.23	11:40:00	1.25467	1.25535	1.25420	1.25528	265	0	1
2023.11.23	11:45:00	1.25532	1.25536	1.25478	1.25505	271	0	1
2023.11.23	11:50:00	1.25507	1.25610	1.25504	1.25606	257	0	1
2023.11.23	11:55:00	1.25611	1.25615	1.25563	1.25585	278	0	1
2023.11.23	12:00:00	1.25581	1.25598	1.25543	1.25566	247	0	1
2023.11.23	12:05:00	1.25564	1.25574	1.25551	1.25560	247	0	1
2023.11.23	12:10:00	1.25562	1.25576	1.25560	1.25572	205	0	1
2023.11.23	12:15:00	1.25571	1.25577	1.25490	1.25492	186	0	1
2023.11.23	12:20:00	1.25492	1.25494	1.25454	1.25473	208	0	1
2023.11.23	12:25:00	1.25472	1.25473	1.25405	1.25470	189	0	1
2023.11.23	12:30:00	1.25470	1.25512	1.25461	1.25485	188	0	1
2023.11.23	12:35:00	1.25482	1.25515	1.25471	1.25503	109	0	1
2023.11.23	12:40:00	1.25503	1.25507	1.25481	1.25500	126	0	1
2023.11.23	12:45:00	1.25502	1.25511	1.25489	1.25492	90	0	1
2023.11.23	12:50:00	1.25491	1.25510	1.25480	1.25492	95	0	1
2023.11.23	12:55:00	1.25488	1.25504	1.25488	1.25504	116	0	1
2023.11.23	13:00:00	1.25502	1.25504	1.25479	1.25495	121	0	1
2023.11.23	13:05:00	1.25495	1.25500	1.25459	1.25462	115	0	1
2023.11.23	13:10:00	1.25461	1.25468	1.25411	1.25419	84	0	1
